Butter;Hanuta;Joghurt;Mineralwasser;Wurst
Bier;Brot;Eier;Hanuta;Gebäck;;;;
Brot;Butter;Brandy;Camembert;Emmentaler;;;;
Du_Darfst;Hanuta;Martini;Milch;Mozarella;;;;
Bier;Chips;Kandis;Party_Mix;Toblerone;;;;
Brot;Butter;Hanuta;Müsli;Zitronen;;;;
Butter;Kohl;Milch;Pfeffer;Soya;;;;
Apfelsinen;Blumen;Brot;Kraut;Nüsse;;;;
Blumentopf;Buch;Zeitung;Coke;;;;;
Fingerhut;Katzenklo;Schaukel;Milch;;;;;
Fingerhut;Katzenklo;Rechnermaus;Brot;;;;;
Coke;Orange_Juice;Soda;Bier;;;;;
Milch;Joghurt;Orange_Juice;Brot;;;;;
Cornflakes;Hanuta;Joghurt;Müsli;;;;;
Hanuta;Joghurt;Mineralwasser;Wurst;;;;;
Brot;Eier;Hanuta;Strümpfe;;;;;
Butter;Brandy;Camembert;Emmentaler;;;;;
Milch;Mozarella;Müsli;Wurst;;;;;
Chips;Bier;Coke;Soda;;;;;
Brot;Butter;Hanuta;Müsli;;;;;
Butter;Kohl;Milch;Pfeffer;;;;;
Brot;Kraut;Nüsse;Wurst;;;;;
Soda;Orange_Juice;Coke;;;;;;
Cornflakes;Hanuta;Joghurt;Müsli;Apfelsinen;;;;
Hanuta;Joghurt;Mineralwasser;Wurst;Butter;;;;
Brot;Eier;Hanuta;Strümpfe;Bier;;;;
Butter;Brandy;Camembert;Emmentaler;Brot;;;;
Hanuta;Martini;Milch;Mozarella;Du_Darfst;;;;
Chips;Kandis;Party_Mix;Toblerone;Bier;;;;
Butter;Hanuta;Müsli;Zitronen;Brot;;;;
Kohl;Milch;Pfeffer;Soya;Butter;;;;
Blumen;Brot;Kraut;Nüsse;Apfelsinen;;;;
Bücher;Zeitung;Blumentopf;Coke;;;;;
Katzenklo;Schaukel;Fingerhut;Jacke;;;;;
Orange_Juice;Soda;Cola;Soap;;;;;
Joghurt;Orange_Juice;Brot;Milch;;;;;
Schrippen;Brot;Butter;Chips;;;;;
Ata;Eier;Salz;Nivea;Hut;;;;
Windeln;Bier;Äpfel;Mütze;;;;;
Joghurt;Äpfel;Bananen;;;;;;
Auto;Computer;HiFi;Äpfel;;;;;
Blumen;Buch;Kugelschreiber;;;;;;
Coke;Soda;Bier;Chips;Shogi;;;;
Bananen;Muesli;Toast;Schokolade;;;;;
Brot;Gummibaerchen;Bleistifte;Zeichenpapier;;;;;
Olivenoel;Mozarella;Salat;Tomaten;Sahne;Tee;;;
Cola;Kakao;Wackelpudding;;;;;;
Rasierklingen;Schokolade;Trueffel;Mozartkugeln;;;;;
Soundkarte;Tuerklinke;Schnitzel;Nasentropfen;;;;;
Tortenheber;Pustekuchen;Schokoladeneis;Hirschragou;;;;;
Spaghetti;Kaese;Motoroel;;;;;;
Tomaten;Äpfel;Bananen;;;;;;
Milch;Brot;Käse;Butter;Wurst;;;;
Porsche911;Porsche911;Golfschläger;Falafel;Porsche911;;;;
Brot;Toast;Nudeln;Reis;Joghurt;Orangensaft;Milch;Käse;
Obst;Müsli;Nüsse;Rosinen;;;;;
Cornflakes;Milch;Müsli;Schokolade;Orangen;Tomaten;Weintrauben;;
Gemüse;Käse;Milch;;;;;;
Butter;Graubrot;Tomaten;Basilikum;Knoblauch;Salami;Emmentaler;;
Cola;Schokolade;Bier;;;;;;
Bücher;Zeitungen;Computer;;;;;;
Fertiggericht;Pommes;Cordon_Bleu;Holzfällerhemd;;;;;
Olivenöl;Salat;Gurke;;;;;;
Chips;Eiscreme;Schoko-Riegel;Kekse;;;;;
Kürbisbrot;Knäckebrot;Zwieback;Butter;Morzarella;Tomaten;Orangensaft;;
CD;Disketten;Rechnermouse;;;;;;
Platten;CD;MC;;;;;;
Reis;Mais;Dinkel;Hirse;;;;;
Tequila;BeetlesCD;Schweinebauch;Möhren;Melonen;Oregano;;;
Fischstäbchen;Bananen;Chili;;;;;;
Tequila;Mandarinen;Kürbis;Hagebutte;;;;;
Kondome;Tequila;Orangen;Pfeffer;;;;;
Tomaten;ArienderWeltCD;Melonen;Zimt;Hagebutte;;;;
Fischstäbchen;Zwiebeln;Bananen;Gewürzgurke;;;;;
Golfschläger;BeetlesCD;Mandarinen;Zimt;Oregano;;;;
Falafel;Fischstäbchen;Möhren;Mandarinen;Äpfel;Kürbis;;;
Falafel;BeetlesCD;Möhren;Bananen;Hagebutte;;;;
Tequila;ArienderWeltCD;Mandarinen;Zitronen;Zimt;;;;
Schweinebauch;Zwiebeln;Äpfel;Gewürzgurke;Hagebutte;;;;
Salz;Ketchup;Nudeln;Camenbert;Edamer;Brot;;;
Schweinebauch;Äpfel;Kürbis;Gewürzgurke;;;;;
ArienderWeltCD;Äpfel;Bananen;Chili;;;;;
Fischstäbchen;Kürbis;Pfefferminz;;;;;;
Fischstäbchen;Zitronen;Melonen;Kürbis;;;;;
ArienderWeltCD;Möhren;Salz;Hagebutte;;;;;
Tortellini;Möhren;Äpfel;Orangen;Salz;;;;
Falafel;ArienderWeltCD;Bananen;Zimt;Pfefferminz;;;;
Falafel;Kondome;Möhren;Salz;Pfeffer;;;;
Tequila;Orangen;Oregano;Chili;;;;;
BeetlesCD;Äpfel;Bananen;Hagebutte;;;;;
Tequila;Orangen;Chili;;;;;;
Golfschläger;Tomaten;BeetlesCD;Schweinebauch;Orangen;Kürbis;;;
Tortellini;BeetlesCD;Zitronen;Orangen;Gewürzgurke;;;;
Fischstäbchen;Bananen;Hagebutte;;;;;;
Golfschläger;Möhren;Bananen;Oregano;;;;;
BeetlesCD;Zitronen;Äpfel;Kürbis;Zimt;Pfefferminz;;;
Tomaten;Fischstäbchen;Möhren;Kürbis;Gewürzgurke;Oregano;Pfefferminz;;
Tomaten;BeetlesCD;Zwiebeln;Mandarinen;Äpfel;Melonen;Zimt;Oregano;
Fischstäbchen;Zwiebeln;Orangen;Bananen;Hagebuttentee;;;;
Tomaten;Kondome;Zwiebeln;Kürbis;Oregano;Chili;;;
Falafel;Möhren;Kürbis;Zimt;Oregano;;;;
Schweinebauch;Äpfel;Orangen;Kürbis;;;;;
Tomaten;Möhren;Bananen;Chili;;;;;
Tequila;Äpfel;Zimt;Chili;;;;;
Tortellini;Schweinebauch;Möhren;Melonen;Pfeffer;;;;
Tequila;Schweinebauch;Möhren;Mandarinen;Kürbis;Oregano;Pfefferminz;;
Falafel;Tomaten;Schweinebauch;Bananen;;;;;
Tortellini;Zitronen;Oregano;Pfefferminz;;;;;
Golfschläger;ArienderWeltCD;Mandarinen;Gewürzgurke;Oregano;Chili;;;
Kondome;Mandarinen;Bananen;Hagebutte;;;;;
Tortellini;Zwiebeln;Äpfel;Chili;;;;;
Kondome;Mandarinen;Äpfel;Bananen;Kürbis;Chili;;;
Falafel;Kondome;Fischstäbchen;Zitronen;Gewürzgurke;;;;
Suschi;Go;Shogi;Reis;;;;;
Instant-Tee;Organgensaft;Milch;Salami;Krabbensalat;Geflügelsalat;Edamer;Emmentaler;
Joghurt;Milchreis;Quark;Butter;Morzarella;Schokolade;Zucker;Mehl;
